Token:                          ST position:                    
startProgram                    -1                              
<                               -1                              
declare                         -1                              
(                               -1                              
string                          -1                              
,                               -1                              
userInput                       5                               
)                               -1                              
declare                         -1                              
(                               -1                              
integer                         -1                              
,                               -1                              
sum                             1                               
)                               -1                              
assign                          -1                              
(                               -1                              
sum                             1                               
,                               -1                              
0                               8                               
)                               -1                              
output                          -1                              
(                               -1                              
"enter numbers to sum them. Enter \".\" to stop the loop"0                               
)                               -1                              
loop                            -1                              
(                               -1                              
)                               -1                              
<                               -1                              
input                           -1                              
(                               -1                              
userInput                       5                               
)                               -1                              
check                           -1                              
(                               -1                              
userInput                       5                               
==                              -1                              
"."                             4                               
)                               -1                              
<                               -1                              
breakLoop                       -1                              
>                               -1                              
else                            -1                              
<                               -1                              
>                               -1                              
else                            -1                              
<                               -1                              
output                          -1                              
(                               -1                              
"invalid input! Enter \".\" to exit the loop"9                               
)                               -1                              
>                               -1                              
>                               -1                              
>                               -1                              
output                          -1                              
(                               -1                              
"Sum of numbers is: "           2                               
,                               -1                              
sum                             1                               
)                               -1                              
>                               -1                              
